"id";"datetime";"dive_number";"dive_type";"depth"
2010023;2010-03-10 12:25:01;1;"Forage";0
2010023;2010-03-10 12:25:03;1;"Forage";0
2010023;2010-03-10 12:25:06;1;"Forage";0
2010023;2010-03-10 12:25:08;1;"Forage";0
2010023;2010-03-10 12:25:10;1;"Forage";0
2010023;2010-03-10 12:25:11;1;"Forage";0
2010023;2010-03-10 12:25:13;1;"Forage";0
2010023;2010-03-10 12:25:15;1;"Forage";0
2010023;2010-03-10 12:25:17;1;"Forage";0
2010023;2010-03-10 12:25:20;1;"Forage";0
2010023;2010-03-10 12:25:22;1;"Forage";0
2010023;2010-03-10 12:25:24;1;"Forage";0
2010023;2010-03-10 12:25:25;1;"Forage";0
2010023;2010-03-10 12:25:27;1;"Forage";0
2010023;2010-03-10 12:25:29;1;"Forage";0
2010023;2010-03-10 12:25:31;1;"Forage";0
2010023;2010-03-10 12:25:34;1;"Forage";0
2010023;2010-03-10 12:25:36;1;"Forage";0
2010023;2010-03-10 12:25:38;1;"Forage";0
2010023;2010-03-10 12:25:39;1;"Forage";0
2010023;2010-03-10 12:25:41;1;"Forage";0
2010023;2010-03-10 12:25:43;1;"Forage";0
2010023;2010-03-10 12:25:46;1;"Forage";0
2010023;2010-03-10 12:25:48;1;"Forage";0
2010023;2010-03-10 12:25:50;1;"Forage";0
2010023;2010-03-10 12:25:52;1;"Forage";0
2010023;2010-03-10 12:25:53;1;"Forage";0
2010023;2010-03-10 12:25:55;1;"Forage";0
2010023;2010-03-10 12:25:57;1;"Forage";0
2010023;2010-03-10 12:26:00;1;"Forage";0
2010023;2010-03-10 12:26:02;1;"Forage";0,5
2010023;2010-03-10 12:26:04;1;"Forage";0
2010023;2010-03-10 12:26:05;1;"Forage";0,5
2010023;2010-03-10 12:26:07;1;"Forage";0
2010023;2010-03-10 12:26:09;1;"Forage";0,5
2010023;2010-03-10 12:26:11;1;"Forage";0,5
2010023;2010-03-10 12:26:14;1;"Forage";2
2010023;2010-03-10 12:26:16;1;"Forage";3,5
2010023;2010-03-10 12:26:18;1;"Forage";6
2010023;2010-03-10 12:26:19;1;"Forage";8,5
2010023;2010-03-10 12:26:21;1;"Forage";11
2010023;2010-03-10 12:26:23;1;"Forage";13,5
2010023;2010-03-10 12:26:25;1;"Forage";16,5
2010023;2010-03-10 12:26:28;1;"Forage";19,5
2010023;2010-03-10 12:26:30;1;"Forage";22,5
2010023;2010-03-10 12:26:32;1;"Forage";25,5
